class,comfort_level,correct
1,433,False
1,411,False
1,469,False
1,408,False
1,364,False
1,409,False
1,448,False
1,408,False
1,439,False
1,452,False
1,454,False
1,446,False
1,424,False
1,433,False
1,462,False
1,410,False
1,406,False
1,467,False
1,440,False
1,429,False
1,420,False
1,473,False
1,441,False
1,408,False
1,467,False
1,463,False
1,361,False
1,413,False
1,471,False
1,386,False
1,397,False
1,402,False
1,446,False
1,429,False
1,456,False
1,443,False
1,425,False
1,440,False
1,476,False
1,421,False
1,451,False
1,463,False
1,458,False
1,440,False
1,441,False
1,397,False
1,426,False
1,458,False
1,395,False
1,405,False
1,420,False
1,433,False
1,432,False
1,419,False
1,470,False
1,429,False
1,448,False
1,451,False
1,431,False
1,379,False
1,434,False
1,408,False
1,476,False
1,409,False
1,483,False
1,414,False
1,436,False
1,448,False
1,454,False
1,442,False
1,485,False
1,418,False
1,439,False
1,421,False
1,430,False
1,403,False
1,376,False
1,433,False
1,445,False
1,449,False
1,441,False
1,457,False
1,396,False
1,398,False
1,444,False
1,430,False
1,465,False
1,423,False
1,470,False
1,480,False
1,391,False
1,452,False
1,445,False
1,465,False
1,445,False
1,443,False
1,423,False
1,420,False
1,449,False
1,449,False
1,455,False
1,487,False
1,445,False
1,468,False
1,443,False
1,451,False
1,464,False
1,458,False
1,454,False
1,471,False
1,444,False
1,434,False
1,472,False
1,430,False
1,404,False
1,451,False
1,493,False
1,428,False
1,430,False
1,444,False
1,463,False
1,403,False
1,441,False
1,454,False
1,421,False
1,472,False
1,389,False
1,430,False
1,447,False
1,412,False
1,461,False
1,450,False
1,450,False
1,428,False
1,483,False
1,428,False
1,421,False
1,459,False
1,470,False
1,423,False
1,442,False
1,402,False
1,460,False
1,392,False
1,439,False
1,441,False
1,444,False
1,443,False
1,429,False
1,429,False
1,457,False
1,432,False
1,431,False
1,421,False
1,433,False
1,429,False
1,405,False
1,441,False
1,424,False
1,415,False
1,416,False
1,465,False
1,435,False
1,410,False
1,458,False
1,424,False
1,426,False
1,431,False
1,420,False
1,401,False
1,436,False
1,480,False
1,472,False
1,439,False
1,417,False
1,432,False
1,461,False
1,430,False
1,457,False
1,478,False
1,440,False
1,409,False
1,512,False
1,427,False
1,421,False
1,456,False
1,417,False
1,483,False
1,425,False
1,474,False
1,427,False
1,429,False
1,451,False
1,411,False
1,464,False
1,408,False
1,484,False
1,427,False
1,424,False
1,457,False
1,453,False
1,470,False
1,476,False
1,491,False
1,444,False
1,413,False
1,453,False
1,388,False
1,427,False
1,382,False
1,474,False
1,423,False
1,440,False
1,502,False
1,432,False
1,421,False
1,463,False
1,430,False
1,457,False
1,430,False
1,441,False
1,356,False
1,481,False
1,405,False
1,476,False
1,450,False
1,405,False
1,460,False
1,486,False
1,466,False
1,415,False
1,442,False
1,475,False
1,419,False
1,432,False
1,469,False
1,464,False
1,459,False
1,457,False
1,467,False
1,445,False
1,496,False
1,404,False
1,422,False
1,471,False
1,442,False
1,430,False
1,453,False
1,449,False
1,430,False
1,430,False
1,376,False
1,437,False
1,453,False
1,407,False
1,427,False
1,387,False
1,400,False
1,486,False
1,449,False
1,407,False
1,439,False
1,488,False
1,475,False
1,394,False
1,417,False
1,446,False
1,395,False
1,442,False
1,456,False
1,448,False
1,432,False
1,436,False
1,426,False
1,420,False
1,429,False
1,446,False
1,396,False
1,381,False
1,451,False
1,426,False
1,474,False
1,409,False
1,456,False
1,471,False
1,410,False
1,446,False
1,392,False
1,465,False
1,384,False
1,478,False
1,426,False
1,453,False
1,496,False
1,423,False
1,389,False
1,401,False
1,422,False
1,459,False
1,453,False
1,434,False
1,436,False
1,471,False
1,484,False
1,441,False
1,429,False
1,396,False
1,441,False
1,460,False
1,491,False
1,456,False
1,417,False
1,462,False
1,477,False
1,452,False
1,424,False
1,449,False
1,429,False
1,425,False
1,439,False
1,419,False
1,460,False
1,441,False
1,408,False
1,448,False
1,474,False
1,450,False
1,438,False
1,440,False
1,444,False
1,472,False
1,438,False
1,467,False
1,426,False
1,415,False
1,428,False
1,390,False
1,486,False
1,479,False
1,431,False
1,430,False
1,425,False
1,451,False
1,447,False
1,434,False
1,464,False
1,450,False
1,440,False
1,449,False
1,446,False
1,374,False
1,453,False
1,429,False
1,445,False
1,448,False
1,398,False
1,448,False
1,409,False
1,401,False
1,406,False
1,436,False
1,471,False
1,464,False
1,477,False
1,376,False
1,414,False
1,434,False
1,443,False
1,441,False
1,443,False
1,474,False
1,477,False
1,424,False
1,448,False
1,407,False
1,409,False
1,465,False
1,459,False
1,426,False
1,430,False
1,467,False
1,408,False
1,445,False
1,421,False
1,459,False
1,441,False
1,425,False
1,436,False
1,452,False
1,404,False
1,465,False
1,424,False
1,478,False
1,410,False
1,447,False
1,400,False
1,380,False
1,374,False
1,400,False
1,425,False
1,430,False
1,452,False
1,470,False
1,496,False
1,483,False
1,438,False
1,405,False
1,476,True
1,422,False
1,441,False
1,442,False
1,468,False
1,415,False
1,411,False
1,386,False
1,453,False
1,458,False
1,418,False
1,449,False
1,466,False
1,430,False
1,451,False
1,467,False
1,387,False
1,420,False
1,467,False
1,422,False
1,441,False
1,409,False
1,415,False
1,452,False
1,464,False
1,399,False
1,483,False
1,434,False
1,445,False
1,416,False
1,395,False
1,461,False
1,496,False
1,415,False
1,387,False
1,378,False
1,476,False
1,415,False
1,373,False
1,408,False
1,459,False
1,399,False
1,431,False
1,424,False
1,406,False
1,416,False
1,446,False
1,451,False
1,461,False
1,441,False
1,455,False
1,489,False
1,474,False
1,468,False
1,385,False
1,484,False
1,457,False
1,417,False
1,457,False
1,441,False
1,389,False
1,406,False
1,424,False
1,387,False
1,444,False
1,467,False
1,466,False
1,436,False
1,448,False
1,401,False
1,469,False
1,472,False
1,445,False
1,456,False
1,438,False
1,435,False
1,414,False
1,446,False
1,472,False
1,467,False
1,451,False
1,454,False
1,476,False
1,406,False
1,444,False
1,412,False
1,396,False
1,441,False
1,387,False
1,465,False
1,383,False
1,457,False
1,475,False
1,413,False
1,406,False
1,463,False
1,441,False
1,447,False
1,479,False
1,461,False
1,405,False
1,434,False
1,453,False
1,488,False
1,452,False
1,434,False
1,446,False
1,463,False
1,428,False
1,434,False
1,434,False
1,439,False
1,431,True
1,383,False
1,420,False
1,387,False
1,458,False
1,424,False
1,412,False
1,467,False
1,469,False
1,462,False
1,414,False
1,445,False
1,401,False
1,426,False
1,432,False
1,396,False
1,377,False
1,436,False
1,454,False
1,427,False
1,437,False
1,444,False
1,419,False
1,432,False
1,453,False
1,449,False
1,440,False
1,349,False
1,431,False
1,426,False
1,472,False
1,365,False
1,421,False
1,438,False
1,405,False
1,480,False
1,445,False
1,455,False
1,446,False
1,458,False
1,416,False
1,424,False
1,453,False
1,425,False
1,464,False
1,430,False
1,441,False
1,432,False
1,434,False
1,385,False
1,445,False
1,460,False
1,434,False
1,340,False
1,416,False
1,450,False
1,432,False
1,376,False
1,386,False
1,473,False
1,413,False
1,466,False
1,404,False
1,466,False
1,438,False
1,438,False
1,471,False
1,413,False
1,432,False
1,450,False
1,432,False
1,442,False
1,435,False
1,438,False
1,391,False
1,446,False
1,389,False
1,451,False
1,490,False
1,412,False
1,426,False
1,442,False
1,452,False
1,449,False
1,490,False
1,455,False
1,439,False
1,433,False
1,413,False
1,477,False
1,445,False
1,459,False
1,398,False
1,478,False
1,412,False
1,438,False
1,475,False
1,453,False
1,425,False
1,476,False
1,414,False
1,415,False
1,468,False
1,460,False
1,409,False
1,397,False
1,453,False
1,435,False
1,466,False
1,452,False
1,426,False
1,416,False
1,427,False
1,429,False
1,428,False
1,443,False
1,410,False
1,424,False
1,432,False
1,416,False
1,447,False
1,446,False
1,466,False
1,390,False
1,438,False
1,414,False
1,452,False
1,416,False
1,428,False
1,444,False
1,412,False
1,378,False
1,445,False
1,441,False
1,425,False
1,459,False
1,482,False
1,433,False
1,413,False
1,448,False
1,444,False
1,478,False
1,434,False
1,466,False
1,420,False
1,436,False
1,417,False
1,429,False
1,443,False
1,438,False
1,412,False
1,479,False
1,488,False
1,428,False
1,441,False
1,463,False
1,383,False
1,428,False
1,419,False
1,407,False
1,461,False
1,449,False
1,423,False
1,470,False
1,478,False
1,400,False
1,463,False
1,427,False
1,429,False
1,408,False
1,449,False
1,443,False
1,379,False
1,424,False
1,399,False
1,445,False
1,433,False
1,457,False
1,446,False
1,475,False
1,448,False
1,423,False
1,447,False
1,425,False
1,307,False
1,434,False
1,383,False
1,463,False
1,414,False
1,437,False
1,366,False
1,490,False
1,428,False
1,410,False
1,449,False
1,467,False
1,436,False
1,421,False
1,459,False
1,447,False
1,424,False
1,436,False
1,451,False
1,433,False
1,423,False
1,416,False
1,437,False
1,444,False
1,417,False
1,427,False
1,393,False
1,408,False
1,467,False
1,447,False
1,441,False
1,408,False
1,435,False
1,412,False
1,460,False
1,457,False
1,463,False
1,446,False
1,486,False
1,468,False
1,479,False
1,469,False
1,401,False
1,458,False
1,414,False
1,446,False
1,471,False
1,454,False
1,434,False
1,438,False
1,449,False
1,448,False
1,470,False
1,453,False
1,411,False
1,383,False
1,426,False
1,438,False
1,444,False
1,403,False
1,403,False
1,405,False
1,444,False
1,427,False
1,455,False
1,412,False
1,441,False
1,420,False
1,417,False
1,476,False
1,398,False
1,391,False
1,439,False
1,453,False
1,404,False
1,428,False
1,420,False
1,409,False
1,459,False
1,448,False
1,421,False
1,427,False
1,443,False
1,450,False
1,427,False
1,469,False
1,450,False
1,452,False
1,447,False
1,434,False
1,430,False
1,377,False
1,440,False
1,457,False
1,452,False
1,481,False
1,422,False
1,418,False
1,408,False
1,438,False
1,449,False
1,456,False
1,425,False
1,426,False
1,452,False
1,466,False
1,420,False
1,460,False
1,476,False
1,442,False
1,479,False
1,439,False
1,425,False
1,380,False
1,416,False
1,470,False
1,428,False
1,426,False
1,472,False
1,450,False
1,442,False
1,443,False
1,424,False
1,413,False
1,433,False
1,414,False
1,451,False
1,467,False
1,449,False
1,423,False
1,449,False
1,462,False
1,463,False
1,426,False
1,426,False
1,458,False
1,392,False
1,418,False
1,412,False
1,435,False
1,446,False
1,443,False
1,428,False
1,447,False
1,442,False
1,429,False
1,420,False
1,385,False
1,462,False
1,418,False
1,389,False
1,454,False
1,431,False
1,439,False
1,421,False
1,470,False
1,437,False
1,413,False
1,441,False
1,438,False
1,442,False
1,457,False
1,450,False
1,416,False
1,458,False
1,419,False
1,384,False
1,426,False
1,447,False
1,463,False
1,467,False
1,406,False
1,415,False
1,471,False
1,412,False
1,395,False
1,467,False
1,454,False
1,438,False
1,436,False
1,399,False
1,453,False
1,444,False
1,374,False
1,467,False
1,417,False
1,441,False
1,372,False
1,442,False
1,431,False
1,464,False
1,479,False
1,451,False
1,446,False
1,424,False
1,465,False
1,455,False
1,391,False
1,405,False
1,474,False
1,376,False
1,460,False
1,439,False
1,404,False
1,429,False
1,432,False
1,429,False
1,413,False
1,435,False
1,468,False
1,406,False
1,424,False
1,418,False
1,391,False
1,430,False
1,474,False
1,446,False
1,418,False
1,420,False
1,448,False
1,476,False
1,464,False
1,477,False
1,393,False
1,450,False
1,452,False
1,493,False
1,410,False
1,443,False
1,464,False
1,451,False
1,434,False
1,428,False
1,477,False
1,437,False
1,455,False
1,428,False
1,428,False
1,445,False
1,404,False
1,402,False
1,450,False
1,441,False
1,429,False
1,391,False
1,398,False
1,449,False
1,396,False
1,461,False
1,431,False
1,399,False
1,436,False
1,442,False
1,457,False
1,447,False
1,403,False
1,440,False
1,442,False
1,473,False
1,431,False
1,484,False
1,417,False
1,430,False
1,484,False
1,388,False
1,429,False
1,469,False
1,428,False
1,481,False
1,413,False
1,392,False
1,440,False
1,403,False
1,431,False
1,395,False
1,412,False
1,410,False
1,431,False
1,477,False
1,421,False
1,378,False
1,461,False
1,457,False
1,430,False
1,450,False
1,434,False
1,439,False
1,439,False
1,466,False
1,441,False
1,454,False
1,459,False
1,480,False
1,455,False
1,445,False
1,444,False
1,412,False
1,452,False
1,410,False
1,403,False
1,441,False
1,456,False
1,452,False
1,451,False
1,424,False
1,456,False
1,464,False
1,441,False
1,440,False
1,436,False
1,447,False
1,473,False
1,452,False
1,408,False
1,409,False
1,413,False
1,366,False
1,419,False
1,436,False
1,398,False
1,432,False
1,405,False
1,483,False
1,406,False
1,409,False
1,445,False
1,490,False
1,445,False
1,504,False
1,451,False
1,458,False
1,425,False
1,436,False
1,423,False
1,434,False
1,428,False
1,436,False
1,445,False
1,464,False
1,436,False
1,471,False
1,375,False
1,445,False
1,446,False
1,403,False
1,415,False
1,447,False
1,459,False
1,430,False
1,423,False
1,440,False
1,470,False
1,458,False
1,462,False
1,435,False
1,414,False
1,427,False
1,402,False
1,494,False
1,430,False
1,418,False
1,466,False
1,416,False
1,390,False
1,412,False
1,433,False
1,439,False
1,409,False
1,429,False
1,405,False
1,448,False
1,412,False
1,404,False
1,457,False
1,450,False
1,414,False
1,449,False
1,460,False
1,450,False
1,431,False
1,407,False
1,468,False
1,452,False
1,440,False
1,435,False
1,421,False
1,434,False
1,524,False
1,451,False
1,429,False
1,436,False
1,409,False
1,435,False
1,448,False
1,431,False
1,451,False
1,475,False
1,509,False
1,458,False
1,388,False
1,472,False
1,388,False
1,408,False
1,426,False
1,480,False
1,455,False
1,434,False
1,453,False
1,424,False
1,424,False
1,415,False
1,444,False
1,439,False
1,445,False
1,441,False
1,414,False
1,464,False
1,473,False
1,434,False
1,437,False
1,421,False
1,410,False
1,440,False
1,463,False
1,399,False
1,446,False
1,399,False
1,487,False
1,450,True
1,433,False
1,414,False
1,422,False
1,419,False
1,441,False
1,454,False
1,414,False
1,461,False
1,437,False
1,470,False
1,435,False
1,433,False
1,427,False
1,476,False
1,415,False
1,457,False
1,444,False
1,451,False
1,403,False
1,476,False
1,459,False
1,416,False
1,455,False
1,441,False
1,410,False
1,418,False
1,478,False
1,432,False
1,436,False
1,442,False
1,431,False
1,398,False
1,438,False
1,408,False
1,448,False
1,437,False
1,426,False
1,510,False
1,474,False
1,439,False
1,444,False
1,425,False
1,477,False
1,459,False
1,445,False
1,466,False
1,421,False
1,430,False
1,471,False
1,448,False
1,441,False
1,442,False
1,439,False
1,462,False
1,451,False
1,473,False
1,420,False
1,401,False
1,420,False
1,416,False
1,439,False
1,421,False
1,421,False
1,430,False
1,404,False
1,447,False
1,450,False
1,462,False
1,415,False
1,402,False
1,448,False
1,459,False
1,436,False
1,408,False
1,408,False
1,441,False
1,398,False
1,463,False
1,450,False
1,454,False
1,447,False
1,423,False
1,459,False
1,447,False
1,415,False
1,461,False
1,421,False
1,435,False
1,424,False
1,375,False
1,439,False
1,449,False
1,446,False
1,440,False
1,423,False
1,468,False
1,415,False
1,447,False
1,462,False
1,474,False
1,421,False
1,469,False
1,478,False
1,440,False
1,446,False
1,415,False
1,449,False
1,398,False
1,449,False
1,423,False
1,457,False
1,420,True
1,445,False
1,403,False
1,436,False
1,430,False
1,419,False
1,469,False
1,443,False
1,485,False
1,437,False
1,424,False
1,471,False
1,429,False
1,429,False
1,414,False
1,493,False
1,439,False
1,403,False
1,466,False
1,463,False
1,462,False
1,398,False
1,425,False
1,434,False
1,383,False
1,477,False
1,478,False
1,456,False
1,478,False
1,434,False
1,424,False
1,427,False
1,463,False
1,420,False
1,421,False
1,457,False
1,436,False
1,388,False
1,480,False
1,389,False
1,399,False
1,480,False
1,440,False
1,462,False
1,413,False
1,412,False
1,443,False
1,416,False
1,417,False
1,495,False
1,471,False
1,436,False
1,480,False
1,454,False
1,403,False
1,412,False
1,440,False
1,452,False
1,457,False
1,457,False
1,454,False
1,404,False
1,417,False
1,431,False
1,399,False
1,471,False
1,412,False
1,436,False
1,450,False
1,393,False
1,444,False
1,446,False
1,486,False
1,386,False
1,465,False
1,484,False
1,462,False
1,432,False
1,437,False
1,441,False
1,391,False
1,422,False
1,454,False
1,450,False
1,459,False
1,472,False
1,386,False
1,417,False
1,379,False
1,467,False
1,437,False
1,482,False
1,430,False
1,490,False
1,468,False
1,433,False
1,469,False
1,487,False
1,434,False
1,424,False
1,447,False
1,379,False
1,445,False
1,426,False
1,446,False
1,473,False
1,433,False
1,445,False
1,437,False
1,444,False
1,409,False
1,471,False
1,392,False
1,458,False
1,443,False
1,444,False
1,453,False
1,453,False
1,457,False
1,417,False
1,426,False
1,469,False
1,432,True
1,416,False
1,402,False
1,459,False
1,453,False
1,463,False
1,459,False
1,395,False
1,448,False
1,445,False
1,424,False
1,437,False
1,479,False
1,448,False
1,407,False
1,421,False
1,383,False
1,415,False
1,383,False
1,470,False
1,454,False
1,481,False
1,443,False
1,442,False
1,439,False
1,466,False
1,456,False
1,444,False
1,442,False
1,402,False
1,391,False
1,480,False
1,450,False
1,435,False
1,485,False
1,444,False
1,452,False
1,422,False
1,407,False
1,432,False
1,397,False
1,473,False
1,407,False
1,434,False
1,449,False
1,445,False
1,384,False
1,424,False
1,449,False
1,464,False
1,480,False
1,449,False
1,456,False
1,470,False
1,416,False
1,460,False
1,428,False
1,404,False
1,399,False
1,473,False
1,442,False
1,429,False
1,415,False
1,450,False
1,444,False
1,430,False
1,450,False
1,471,False
1,420,False
1,427,False
1,460,False
1,452,False
1,450,False
1,444,False
1,511,False
1,474,False
1,424,False
1,400,False
1,457,False
1,434,False
1,456,False
1,403,False
1,373,False
1,420,False
1,382,False
1,427,False
1,460,False
1,462,False
1,461,False
1,434,False
1,426,False
1,464,False
1,421,False
1,424,False
1,457,False
1,458,False
1,464,False
1,432,False
1,466,False
1,449,False
1,418,False
1,442,False
1,432,False
1,418,False
1,374,False
1,440,False
1,465,False
1,420,False
1,452,False
1,485,False
1,466,False
1,418,False
1,453,False
1,461,False
1,387,False
1,441,False
1,442,False
1,391,False
1,438,False
1,471,False
1,418,False
1,381,False
1,425,False
1,478,False
1,472,False
1,436,False
1,445,False
1,375,False
1,445,False
1,464,False
1,415,False
1,439,False
1,419,False
1,424,False
1,435,False
1,459,False
1,428,False
1,450,False
1,424,False
1,467,False
1,434,False
1,422,False
1,435,False
1,450,False
1,447,False
1,451,False
1,434,False
1,419,False
1,449,False
1,428,False
1,448,False
1,469,False
1,405,False
1,472,False
1,455,False
1,477,False
1,460,False
1,449,False
1,370,False
1,455,False
1,463,False
1,446,True
1,402,False
1,444,False
1,468,False
1,425,False
1,445,False
1,464,False
1,438,False
1,500,False
1,446,False
1,416,False
1,392,False
1,460,False
1,385,False
1,479,False
1,452,False
1,433,False
1,390,False
1,399,False
1,446,False
1,481,False
1,448,False
1,414,False
1,449,False
1,441,False
1,476,False
1,432,False
1,420,False
1,478,False
1,436,False
1,407,False
1,456,False
1,438,False
1,355,False
1,395,False
1,375,False
1,418,False
1,474,False
1,426,False
1,442,False
1,437,False
1,426,False
1,476,False
1,417,False
1,378,False
1,436,False
1,470,False
1,423,False
1,431,False
1,437,False
1,465,False
1,466,False
1,443,False
1,456,False
1,478,False
1,402,False
1,419,False
1,444,False
1,472,False
1,456,False
1,460,False
1,465,False
1,440,False
1,435,False
1,455,False
1,496,False
1,435,False
1,401,False
1,455,False
1,472,False
1,492,False
1,405,False
1,388,False
1,481,False
1,403,False
1,421,False
1,399,False
1,416,False
1,453,False
1,491,False
1,447,False
1,425,False
1,453,False
1,397,False
1,478,False
1,419,False
1,477,False
1,389,False
1,448,False
1,403,False
1,419,False
1,446,False
1,426,False
1,420,False
1,455,False
1,451,False
1,461,False
1,462,False
1,440,False
1,414,False
1,385,False
1,420,False
1,429,False
1,437,False
1,446,False
1,407,False
1,484,False
1,429,False
1,447,False
1,444,False
1,427,False
1,453,False
1,444,False
1,468,False
1,470,False
1,448,False
1,420,False
1,450,False
1,453,False
1,427,False
1,445,False
1,438,False
1,461,False
1,414,False
1,440,False
1,477,False
1,438,False
1,439,False
1,454,False
1,433,False
1,485,False
1,437,False
1,436,False
1,471,False
1,390,False
1,467,False
1,431,False
1,497,False
1,378,False
1,416,False
1,463,False
1,431,False
1,403,False
1,409,False
1,403,False
1,490,False
1,394,False
1,458,False
1,436,False
1,443,False
1,422,False
1,424,False
1,418,False
1,436,False
1,441,False
1,398,False
1,426,False
1,389,False
1,431,False
1,462,False
1,466,False
1,435,False
1,366,False
1,476,False
1,439,False
1,446,False
1,448,False
1,489,False
1,447,False
1,470,False
1,419,False
1,440,False
1,356,False
1,411,False
1,405,False
1,392,False
1,448,False
1,490,False
1,411,False
1,428,False
1,394,False
1,392,False
1,415,False
1,422,False
1,448,False
1,441,False
1,427,False
1,425,False
1,444,False
1,420,False
1,420,False
1,486,False
1,451,False
1,481,False
1,420,False
1,436,False
1,470,False
1,436,False
1,431,False
1,459,False
1,468,False
1,428,False
1,423,False
1,456,False
1,434,False
1,465,False
1,405,False
1,454,False
1,438,False
1,424,False
1,462,False
1,420,False
1,412,False
1,440,False
1,431,False
1,388,False
1,446,False
1,388,False
1,464,False
1,436,False
1,461,False
1,392,False
1,442,False
1,401,False
1,449,False
1,401,False
1,464,False
1,430,False
1,443,False
1,408,False
1,434,False
1,440,False
1,392,False
1,471,False
1,442,False
1,438,False
1,443,False
1,442,False
1,456,False
1,454,False
1,440,False
1,463,False
1,407,False
1,480,False
1,476,False
1,464,False
1,435,False
1,429,False
1,459,False
1,482,False
1,420,False
1,425,False
1,430,False
1,466,False
1,428,False
1,432,False
1,466,False
1,452,False
1,431,False
1,436,False
1,420,False
1,404,False
1,438,False
1,461,False
1,457,False
1,427,False
1,456,False
1,432,False
1,458,False
1,448,False
1,460,False
1,472,False
1,430,False
1,455,False
1,446,False
1,442,False
1,457,False
1,444,False
1,428,False
1,458,False
1,420,False
1,467,False
1,447,False
1,405,False
1,437,False
1,429,False
1,466,False
1,427,False
1,459,False
1,471,False
1,397,False
1,413,False
1,470,False
1,463,False
1,450,False
1,437,False
1,429,False
1,398,False
1,441,False
1,458,False
1,438,False
1,457,False
1,452,False
1,458,False
1,472,False
1,470,False
1,455,False
1,464,False
1,495,False
1,453,False
1,456,False
1,420,False
1,422,False
1,470,False
1,454,False
1,466,False
1,432,False
1,427,False
1,460,False
1,475,False
1,392,False
1,399,False
1,448,False
1,436,False
1,428,False
1,354,False
1,399,False
1,444,False
1,445,False
1,410,False
1,451,False
1,429,False
1,435,False
1,456,False
1,481,False
1,442,False
1,396,False
1,445,False
1,418,False
1,448,False
1,422,False
1,413,False
1,500,False
1,385,False
1,453,False
1,456,False
1,462,False
1,462,False
1,463,False
1,452,False
1,422,False
1,469,False
1,434,False
1,463,False
1,440,False
1,417,False
1,452,False
1,387,False
1,458,False
1,451,False
1,426,False
1,463,False
1,410,False
1,422,False
1,442,False
1,433,False
1,457,False
1,365,False
1,464,False
1,460,False
1,467,False
1,433,False
1,433,False
1,384,False
1,413,False
1,423,False
1,472,False
1,444,False
1,391,False
1,463,False
1,438,False
1,433,False
1,474,False
1,458,False
1,445,False
1,441,False
1,426,False
1,404,False
1,485,False
1,464,False
1,442,False
1,471,False
1,466,False
1,477,False
1,433,False
1,373,False
1,423,False
1,455,False
1,448,False
1,439,False
1,485,False
1,445,False
1,431,False
1,444,False
1,431,False
1,447,False
1,448,False
1,442,False
1,438,False
1,451,False
1,422,False
1,419,False
1,433,False
1,398,False
1,338,False
1,455,False
1,472,False
1,434,False
1,425,False
1,441,False
1,414,False
1,444,False
1,403,False
1,446,False
1,506,False
1,440,False
1,428,False
1,438,False
1,468,False
1,423,False
1,420,False
1,404,False
1,464,False
1,471,False
1,447,False
1,418,False
1,433,False
1,395,False
1,449,False
1,437,False
1,447,False
1,430,False
1,396,False
1,429,False
1,462,False
1,475,False
1,480,False
1,447,False
1,452,False
1,452,False
1,408,False
1,415,False
1,452,False
1,401,False
1,423,False
1,424,False
1,432,False
1,393,False
1,452,False
1,442,False
1,477,False
1,423,False
1,472,False
1,447,False
1,447,False
1,446,True
1,395,False
1,474,False
1,413,False
1,439,False
1,436,False
1,406,False
1,429,False
1,460,False
1,361,False
1,460,False
1,430,False
1,487,False
1,472,False
1,420,False
1,448,False
1,446,False
1,407,False
1,438,False
1,366,False
1,412,False
1,425,False
1,410,False
1,491,False
1,440,False
1,451,False
1,462,False
1,435,False
1,419,False
1,457,False
1,438,False
1,452,False
1,455,False
1,434,False
1,390,False
1,465,False
1,417,False
1,400,False
1,430,False
1,473,False
1,416,False
1,398,False
1,406,False
1,411,False
1,460,False
1,430,False
1,450,False
1,463,False
1,430,False
1,477,False
1,486,False
1,418,False
1,401,False
1,422,False
1,385,False
1,403,False
1,434,False
1,402,False
1,400,False
1,452,False
1,454,False
1,448,False
1,467,False
1,434,False
1,427,False
1,450,False
1,412,False
1,443,False
1,424,False
1,436,False
1,483,False
1,441,False
1,443,False
1,448,False
1,490,False
1,403,False
1,470,False
1,444,False
1,474,False
1,422,False
1,404,False
1,414,False
1,457,False
1,421,False
1,453,False
1,429,False
1,411,False
1,484,False
1,429,False
1,436,False
1,476,False
1,482,False
1,446,False
1,380,False
1,418,False
1,486,False
1,474,False
1,450,False
1,474,False
1,442,False
1,388,False
1,507,False
1,454,False
1,452,False
1,455,False
1,400,False
1,411,False
1,452,False
1,430,False
1,406,False
1,460,False
1,419,False
1,449,False
1,441,False
1,447,False
1,463,False
1,441,False
1,367,False
1,416,False
1,468,False
1,411,False
1,429,False
1,456,False
1,413,False
1,511,False
1,417,False
1,453,False
1,456,True
1,425,False
1,463,False
1,467,False
1,427,False
1,408,False
1,363,False
1,506,False
1,478,False
1,478,False
1,453,False
1,487,False
1,429,False
1,430,False
1,439,False
1,435,False
1,453,False
1,437,False
1,432,False
1,441,False
1,427,False
1,432,False
1,462,False
1,433,False
1,440,False
1,428,False
1,469,False
1,460,False
1,460,False
1,389,False
1,422,False
1,457,False
1,441,False
1,396,False
1,408,False
1,453,False
1,444,False
1,422,False
1,435,False
1,475,False
1,414,False
1,416,False
1,436,False
1,433,False
1,425,False
1,401,False
1,457,False
1,414,False
1,412,False
1,470,False
1,445,False
1,426,False
1,434,False
1,462,False
1,405,False
1,399,False
1,427,False
1,436,False
1,459,False
1,406,False
1,423,False
1,467,False
1,429,False
1,386,False
1,453,False
1,427,False
1,413,False
1,459,False
1,448,False
1,468,False
1,426,False
1,443,False
1,432,False
1,427,False
1,471,False
1,427,True
1,432,False
1,431,False
1,469,False
1,435,False
1,477,False
1,447,False
1,482,False
1,442,False
1,413,False
1,451,False
1,427,False
1,415,False
1,444,False
1,428,False
1,493,False
1,437,False
1,434,False
1,406,False
1,424,False
1,421,False
1,451,False
1,422,False
1,463,False
1,423,False
1,453,False
1,438,False
1,464,False
1,427,False
1,424,False
1,430,False
1,451,False
1,374,False
1,429,False
1,462,False
1,447,False
1,378,False
1,438,False
1,437,False
1,450,False
1,445,False
1,440,False
1,464,False
1,428,False
1,423,False
1,435,False
1,421,False
1,436,False
1,435,False
1,402,False
1,482,False
1,412,False
1,424,False
1,410,False
1,433,False
1,434,False
1,395,False
1,453,False
1,402,False
1,442,False
1,427,False
1,460,False
1,476,False
1,425,False
1,395,False
1,490,False
1,454,False
1,388,False
1,470,False
1,485,False
1,477,False
1,464,False
1,445,False
1,472,False
1,485,False
1,397,False
1,421,False
1,432,False
1,454,False
1,393,False
1,455,False
1,431,False
1,460,False
1,424,False
1,437,False
1,444,False
1,442,True
1,460,False
1,416,False
1,391,False
1,491,False
1,468,False
1,434,False
1,461,False
1,395,False
1,399,False
1,488,False
1,478,False
1,382,False
1,476,False
1,369,False
1,455,False
1,412,False
1,394,False
1,452,False
1,419,False
1,427,False
1,454,False
1,438,False
1,472,False
1,464,False
1,438,False
1,435,False
1,432,False
1,458,False
1,462,False
1,461,False
1,437,False
1,413,False
1,452,False
1,483,False
1,470,False
1,459,False
1,425,False
1,435,False
1,367,False
1,420,False
1,474,False
1,466,False
1,457,False
1,435,False
1,458,False
1,460,False
1,441,False
1,467,False
1,438,False
1,421,False
1,376,False
